region_code,region_name,sub_region,latitude,longitude
NA,North America,Americas,54.5260,-105.2551
CA,Central America,Americas,15.7835,-90.2308
SA,South America,Americas,-8.7832,-55.4915
WE,Western Europe,Europe,54.5260,15.2551
EE,Eastern Europe,Europe,50.4501,30.5234
ME,Middle East,Asia,29.2985,42.5510
CAS,Central Asia,Asia,41.2995,74.9508
SAS,South Asia,Asia,20.5937,78.9629
EAS,East Asia,Asia,35.8617,104.1954
SEA,Southeast Asia,Asia,12.8797,121.7740
EAF,East Africa,Africa,-1.2921,36.8219
WAF,West Africa,Africa,9.0820,8.6753
NAF,North Africa,Africa,26.8206,30.8025
SAF,Southern Africa,Africa,-30.5595,22.9375
